# Arapça	Türkçe okunuş (Leknevî'nin biyografilerinde adı geçen eserler)
أحكام القرآن	Ahkamü'l-Kur'an
أحكام الوقف	Ahkamü'l-vakf
أخبار أبي حنيفة وأصحابه	Ahbaru Ebi Hanife ve ashabih
أدب القاضي	Edebü'l-kadi
أرجوزة في الفقه	Urcuze fi'l-fıkh
أساس البلاغة	Esasü'l-belaga
أشعة اللمعات	Eşi''atü'l-Lema'at
أصول البزدوي (كنز الوصول)	Usulü'l-Pezdevi (Kenzü'l-vusul)
أصول السرخسي	Usulü's-Serahsi
أطواق الذهب	Atvakü'z-zeheb
أقضية الرسول	Akdiyetü'r-Resul
أنفع الوسائل	Enfe'u'l-vesail
أنموذج العلوم	Ünmuzecü'l-ulum
أوهام المعتزلة	Evhamü'l-Mu'tezile
إرشاد الراجي شرح فرائض السراجي	İrşadü'r-raci şerhu Feraizi's-Sirac
إرشاد العقل السليم إلى مزايا الكتاب الكريم	İrşadü'l-akli's-selim ila mezaya'l-Kitabi'l-kerim
إرشاد المهتدي	İrşadü'l-mühtedi
إرشاد ذوي الألباب	İrşadü zevi'l-elbab
إيثار الإنصاف	İsarü'l-insaf
اختلاف العلماء	İhtilafü'l-ulema
الآثار	el-Asar
الأجناس	el-Ecnas
الأسرار	el-Esrar
الأقضية	el-Akdiye
الأمالي	el-Emali
الإحسان في تقريب صحيح ابن حبان	el-İhsan fi takribi Sahihi İbn Hibban
الإرشاد	el-İrşad
الإشارات	el-İşarat
الإصلاح والإيضاح	el-Islah ve'l-izah
الإقناع	el-İkna'
الإيضاح شرح التجريد	el-İzah şerhu't-Tecrid
الإيضاح شرح مقامات الحريري	el-İzah şerhu Makamati'l-Hariri
الاختيار لتعليل المختار	el-İhtiyar li-ta'lili'l-Muhtar
الاعتقاد	el-İ'tikad
الاعتماد شرح العمدة	el-İ'timad şerhu'l-Umde
الافتتاح في شرح دعاء الاستفتاح	el-İftitah fi şerhi du'ai'l-istiftah
البحر الجاري في الفتاوى	el-Bahrü'l-cari fi'l-fetava
البحر المحيط (منية الفقهاء)	el-Bahrü'l-muhit (Münyetü'l-fukaha)
البداية في أصول الدين	el-Bidaye fi usuli'd-din
البديع في أصول الفقه	el-Bedi' fi usuli'l-fıkh
البستان في فضائل النعمان	el-Bustan fi menakıbi'n-Nu'man
البناية شرح الهداية	el-Binaye şerhu'l-Hidaye
البيان في شرح المختصر	el-Beyan fi şerhi'l-Muhtasar
التاريخ	et-Tarih
التاريخ الكبير	et-Tarihu'l-kebir
التبيين شرح المنتخب الحسامي	et-Tebyin şerhu'l-Müntehabi'l-Husami
التجريد	et-Tecrid
التجنيس	et-Tecnis
التجنيس والمزيد	et-Tecnis ve'l-mezid
التحرير (اختصار المختار)	et-Tahrir (İhtisarü'l-Muhtar)
التحرير في أصول الفقه	et-Tahrir fi usuli'l-fıkh
التخمير شرح المفصل	et-Tahmir şerhu'l-Mufassal
التذكرة في النحو	et-Tezkire fi'n-nahv
التراجم بلسان الأعاجم	et-Terakim bi-lisani'l-e'acim
التعرف لمذهب أهل التصوف	et-Taarruf li-mezhebi ehli't-tasavvuf
التعريفات	et-Ta'rifat
التفسير	et-Tefsir
التفسير الكبير	et-Tefsirü'l-kebir
التقريب	et-Takrib
التقرير شرح أصول البزدوي	et-Takrir şerhu Usuli'l-Pezdevi
التقرير شرح الجامع الكبير	et-Takrir şerhu'l-Cami'i'l-kebir
التمهيد لقواعد التوحيد	et-Temhid li-kavaidi't-tevhid
التنقيح	et-Tenkih
